DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
10/24/2014,"2,379,484","2,379,484","2,379,484","2,379,484",1,1,,,,
10/27/2014,"2,372,084","2,372,084","2,372,084","2,372,084",1,1,,,,
10/28/2014,"2,376,324","2,376,324","2,376,324","2,376,324",1,1,,,,
10/29/2014,"2,380,281","2,380,281","2,380,281","2,380,281",1,1,,,,
10/30/2014,"2,380,822","2,380,822","2,380,822","2,380,822",1,1,,,,
10/31/2014,"2,373,660","2,373,660","2,373,660","2,373,660",1,1,,,,
11/3/2014,"2,368,149","2,368,149","2,368,149","2,368,149",1,1,,,,
11/4/2014,"2,368,266","2,368,266","2,368,266","2,368,266",1,1,,,,
11/5/2014,"2,371,641","2,371,641","2,371,641","2,371,641",1,1,,,,
11/6/2014,"2,368,931","2,368,931","2,368,931","2,368,931",1,1,,,,
11/10/2014,"2,370,136","2,370,136","2,370,136","2,370,136",1,1,,,,
11/11/2014,"2,371,913","2,371,913","2,371,913","2,371,913",1,1,,,,
11/12/2014,"2,365,463","2,365,463","2,365,463","2,365,463",1,1,,,,
11/13/2014,"2,366,645","2,366,645","2,366,645","2,366,645",1,1,,,,
11/14/2014,"2,366,120","2,366,120","2,366,120","2,366,120",1,1,,,,
11/17/2014,"2,359,200","2,359,200","2,359,200","2,359,200",1,1,,,,
11/18/2014,"2,352,362","2,352,362","2,352,362","2,352,362",1,1,,,,
11/19/2014,"2,349,853","2,349,853","2,349,853","2,349,853",1,1,,,,
11/20/2014,"2,349,328","2,349,328","2,349,328","2,349,328",1,1,,,,
11/21/2014,"2,348,578","2,348,578","2,348,578","2,348,578",1,1,,,,
11/24/2014,"2,351,278","2,351,278","2,351,278","2,351,278",1,1,,,,
11/25/2014,"2,340,273","2,340,273","2,340,273","2,340,273",1,1,,,,
11/26/2014,"2,340,157","2,340,157","2,340,157","2,340,157",1,1,,,,
11/28/2014,"2,336,180","2,336,180","2,336,180","2,336,180",1,1,,,,
12/1/2014,"2,335,555","2,335,555","2,335,555","2,335,555",1,1,,,,
12/2/2014,"2,338,355","2,338,355","2,338,355","2,338,355",1,1,,,,
12/3/2014,"2,336,480","2,336,480","2,336,480","2,336,480",1,1,,,,
12/4/2014,"2,322,870","2,322,870","2,322,870","2,322,870",1,1,,,,
12/5/2014,"2,317,951","2,317,951","2,317,951","2,317,951",1,1,,,,
12/8/2014,"2,318,791","2,318,791","2,318,791","2,318,791",1,1,,,,
12/9/2014,"2,317,740","2,317,740","2,317,740","2,317,740",1,1,,,,
12/10/2014,"2,321,040","2,321,040","2,321,040","2,321,040",1,1,,,,
12/11/2014,"2,319,080","2,319,080","2,319,080","2,319,080",1,1,,,,
12/12/2014,"2,323,010","2,323,010","2,323,010","2,323,010",1,1,,,,
12/15/2014,"2,319,310","2,319,310","2,319,310","2,319,310",1,1,,,,
12/16/2014,"2,316,498","2,316,498","2,316,498","2,316,498",1,1,,,,
12/17/2014,"2,298,933","2,298,933","2,298,933","2,298,933",1,1,,,,
12/18/2014,"2,298,158","2,298,158","2,298,158","2,298,158",1,1,,,,
12/19/2014,"2,300,788","2,300,788","2,300,788","2,300,788",1,1,,,,
12/22/2014,"2,299,409","2,299,409","2,299,409","2,299,409",1,1,,,,
12/23/2014,"2,306,109","2,306,109","2,306,109","2,306,109",1,1,,,,
12/24/2014,"2,305,809","2,305,809","2,305,809","2,305,809",1,1,,,,
12/26/2014,"2,305,234","2,305,234","2,305,234","2,305,234",1,1,,,,
12/29/2014,"2,310,994","2,310,994","2,310,994","2,310,994",1,1,,,,
12/30/2014,"2,309,625","2,309,625","2,309,625","2,309,625",1,1,,,,
12/31/2014,"2,313,931","2,313,931","2,313,931","2,313,931",1,1,,,,
1/2/2015,"2,313,256","2,313,256","2,313,256","2,313,256",1,1,,,,
1/5/2015,"2,311,424","2,311,424","2,311,424","2,311,424",1,1,,,,
1/6/2015,"2,298,694","2,298,694","2,298,694","2,298,694",1,1,,,,
1/7/2015,"2,293,869","2,293,869","2,293,869","2,293,869",1,1,,,,
1/8/2015,"2,290,274","2,290,274","2,290,274","2,290,274",1,1,,,,
1/9/2015,"2,288,526","2,288,526","2,288,526","2,288,526",1,1,,,,
1/12/2015,"2,288,000","2,288,000","2,288,000","2,288,000",1,1,,,,
1/13/2015,"2,285,949","2,285,949","2,285,949","2,285,949",1,1,,,,
1/14/2015,"2,291,194","2,291,194","2,291,194","2,291,194",1,1,,,,
1/15/2015,"2,293,286","2,293,286","2,293,286","2,293,286",1,1,,,,
1/16/2015,"2,292,461","2,292,461","2,292,461","2,292,461",1,1,,,,
1/19/2015,"2,291,961","2,291,961","2,291,961","2,291,961",1,1,,,,
1/20/2015,"2,293,276","2,293,276","2,293,276","2,293,276",1,1,,,,
1/21/2015,"2,293,069","2,293,069","2,293,069","2,293,069",1,1,,,,
1/22/2015,"2,291,817","2,291,817","2,291,817","2,291,817",1,1,,,,
1/23/2015,"2,288,982","2,288,982","2,288,982","2,288,982",1,1,,,,
1/26/2015,"2,286,232","2,286,232","2,286,232","2,286,232",1,1,,,,
1/27/2015,"2,283,721","2,283,721","2,283,721","2,283,721",1,1,,,,
1/28/2015,"2,277,521","2,277,521","2,277,521","2,277,521",1,1,,,,
1/29/2015,"2,275,456","2,275,456","2,275,456","2,275,456",1,1,,,,
1/30/2015,"2,268,568","2,268,568","2,268,568","2,268,568",1,1,,,,
2/2/2015,"2,268,127","2,268,127","2,268,127","2,268,127",1,1,,,,
2/3/2015,"2,268,002","2,268,002","2,268,002","2,268,002",1,1,,,,
2/4/2015,"2,266,451","2,266,451","2,266,451","2,266,451",1,1,,,,
2/5/2015,"2,267,931","2,267,931","2,267,931","2,267,931",1,1,,,,
2/6/2015,"2,266,137","2,266,137","2,266,137","2,266,137",1,1,,,,
2/9/2015,"2,265,587","2,265,587","2,265,587","2,265,587",1,1,,,,
